reference,assembly_accession,species_taxid,taxid,organism_name,strain,bioproject,biosample,assembly_level,genome_size,contig_count,taxonomy,download
M.neoaurum,GCF_000317305.3,1795,700508,Mycolicibacterium neoaurum VKM Ac-1815D,strain=VKM Ac-1815D,PRJNA224116,SAMN02641502,Complete Genome,5421267.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium neoaurum;x__Mycolicibacterium neoaurum VKM Ac-1815D,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/305/GCF_000317305.3_ASM31730v3/GCF_000317305.3_ASM31730v3_genomic.fna.gz ./GCF_000317305.3_genomic.fna.gz
M.neumannii,GCF_002245615.1,2048551,2048551,Mycobacterium neumannii,strain=CECT 8766,PRJNA224116,SAMN07269033,Scaffold,5376391.0,58.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium neumannii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/245/615/GCF_002245615.1_ASM224561v1/GCF_002245615.1_ASM224561v1_genomic.fna.gz ./GCF_002245615.1_genomic.fna.gz
M.neworleansense,GCF_001245615.1,146018,146018,Mycolicibacterium neworleansense,strain=ATCC 49404T,PRJNA224116,SAMEA3481574,Contig,6287317.0,9.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium neworleansense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/245/615/GCF_001245615.1_Mycobacterium_neworleansense_assembly_1/GCF_001245615.1_Mycobacterium_neworleansense_assembly_1_genomic.fna.gz ./GCF_001245615.1_genomic.fna.gz
M.nivoides,GCF_003855255.1,2487344,2487344,Mycolicibacterium nivoides,strain=DL90,PRJNA224116,SAMN10393184,Chromosome,6905961.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium nivoides,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/255/GCF_003855255.1_ASM385525v1/GCF_003855255.1_ASM385525v1_genomic.fna.gz ./GCF_003855255.1_genomic.fna.gz
M.nonchromogenicus,GCF_002101775.1,1782,1782,Mycolicibacter nonchromogenicus,strain=DSM 44164,PRJNA224116,SAMN04216939,Contig,4465329.0,91.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter nonchromogenicus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/775/GCF_002101775.1_ASM210177v1/GCF_002101775.1_ASM210177v1_genomic.fna.gz ./GCF_002101775.1_genomic.fna.gz
M.noviomagense,GCF_010731635.1,459858,459858,Mycobacterium noviomagense,strain=JCM 16367,PRJNA224116,SAMD00153203,Complete Genome,4779798.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium noviomagense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/635/GCF_010731635.1_ASM1073163v1/GCF_010731635.1_ASM1073163v1_genomic.fna.gz ./GCF_010731635.1_genomic.fna.gz
M.novocastrense,GCF_001499835.1,59813,59813,Mycolicibacterium novocastrense,strain=GA-2613,PRJNA224116,SAMN04339709,Contig,5702270.0,66.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium novocastrense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/499/835/GCF_001499835.1_ASM149983v1/GCF_001499835.1_ASM149983v1_genomic.fna.gz ./GCF_001499835.1_genomic.fna.gz
M.novum,GCF_010726505.1,2492438,2492438,Mycobacterium novum,strain=JCM 6391,PRJNA224116,SAMD00153168,Complete Genome,4458926.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium novum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/505/GCF_010726505.1_ASM1072650v1/GCF_010726505.1_ASM1072650v1_genomic.fna.gz ./GCF_010726505.1_genomic.fna.gz
M.numidiamassiliense,GCF_900157365.1,1841861,1841861,Mycobacterium numidiamassiliense,strain=AB215,PRJNA224116,SAMEA54001918,Contig,6248949.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium numidiamassiliense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/365/GCF_900157365.1_PRJEB19151/GCF_900157365.1_PRJEB19151_genomic.fna.gz ./GCF_900157365.1_genomic.fna.gz
M.obuense,GCF_004359005.1,1807,1807,Mycolicibacterium obuense,strain=22DIII,PRJNA224116,SAMN10799735,Scaffold,5599206.0,16.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium obuense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/359/005/GCF_004359005.1_ASM435900v1/GCF_004359005.1_ASM435900v1_genomic.fna.gz ./GCF_004359005.1_genomic.fna.gz
M.ostraviense,GCF_021183725.1,2738409,2738409,Mycobacterium ostraviense,strain=FDAARGOS_1613,PRJNA224116,SAMN23242882,Complete Genome,6127734.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium ostraviense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/183/725/GCF_021183725.1_ASM2118372v1/GCF_021183725.1_ASM2118372v1_genomic.fna.gz ./GCF_021183725.1_genomic.fna.gz
M.palauense,GCF_002592005.1,2034511,2034511,Mycolicibacterium palauense,strain=CECT 8779,PRJNA224116,SAMN07606484,Scaffold,6230283.0,210.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium palauense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/592/005/GCF_002592005.1_ASM259200v1/GCF_002592005.1_ASM259200v1_genomic.fna.gz ./GCF_002592005.1_genomic.fna.gz
M.pallens,GCF_019456675.1,370524,370524,Mycolicibacterium pallens,strain=JCM 16370,PRJNA224116,SAMN20254255,Complete Genome,6093551.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium pallens,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/675/GCF_019456675.1_ASM1945667v1/GCF_019456675.1_ASM1945667v1_genomic.fna.gz ./GCF_019456675.1_genomic.fna.gz
M.palustre,GCF_002101785.1,153971,153971,Mycobacterium palustre,strain=DSM 44572,PRJNA224116,SAMN04216940,Contig,6037522.0,158.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium palustre,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/785/GCF_002101785.1_ASM210178v1/GCF_002101785.1_ASM210178v1_genomic.fna.gz ./GCF_002101785.1_genomic.fna.gz
M.paraense,GCF_002101815.1,767916,767916,Mycobacterium paraense,strain=IEC26,PRJNA224116,SAMN04216942,Contig,5619528.0,51.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium paraense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/815/GCF_002101815.1_ASM210181v1/GCF_002101815.1_ASM210181v1_genomic.fna.gz ./GCF_002101815.1_genomic.fna.gz
M.paraffinicum,GCF_025822865.1,53378,53378,Mycobacterium paraffinicum,strain=DSM 44181,PRJNA224116,SAMN15568937,Contig,5402488.0,44.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium paraffinicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/865/GCF_025822865.1_ASM2582286v1/GCF_025822865.1_ASM2582286v1_genomic.fna.gz ./GCF_025822865.1_genomic.fna.gz
M.parafortuitum,GCF_010725485.1,39692,39692,Mycolicibacterium parafortuitum,strain=JCM 6367,PRJNA224116,SAMD00153162,Complete Genome,6044196.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium parafortuitum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/485/GCF_010725485.1_ASM1072548v1/GCF_010725485.1_ASM1072548v1_genomic.fna.gz ./GCF_010725485.1_genomic.fna.gz
M.paragordonae,GCF_003614435.1,1389713,1389713,Mycobacterium paragordonae,strain=49061,PRJNA224116,SAMN08222636,Complete Genome,7224251.0,5.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium paragordonae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/435/GCF_003614435.1_ASM361443v1/GCF_003614435.1_ASM361443v1_genomic.fna.gz ./GCF_003614435.1_genomic.fna.gz
M.paraintracellulare,GCF_000276825.1,1138383,1138383,Mycobacterium paraintracellulare,strain=MOTT64,PRJNA224116,SAMN02603185,Complete Genome,5501090.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium paraintracellulare,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/825/GCF_000276825.1_ASM27682v1/GCF_000276825.1_ASM27682v1_genomic.fna.gz ./GCF_000276825.1_genomic.fna.gz
M.parakoreensis,GCF_022370835.2,1069221,1069221,Mycolicibacillus parakoreensis,strain=DSM 45575,PRJNA224116,SAMN20254257,Complete Genome,3936223.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacillus;s__Mycolicibacillus parakoreensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/835/GCF_022370835.2_ASM2237083v2/GCF_022370835.2_ASM2237083v2_genomic.fna.gz ./GCF_022370835.2_genomic.fna.gz
M.parascrofulaceum,GCF_000164135.1,240125,525368,Mycobacterium parascrofulaceum ATCC BAA-614,strain=ATCC BAA-614,PRJNA224116,SAMN00189881,Scaffold,6564171.0,405.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium parascrofulaceum;x__Mycobacterium parascrofulaceum ATCC BAA-614,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/135/GCF_000164135.1_ASM16413v1/GCF_000164135.1_ASM16413v1_genomic.fna.gz ./GCF_000164135.1_genomic.fna.gz
M.paraseoulense,GCF_010731655.1,590652,590652,Mycobacterium paraseoulense,strain=JCM 16952,PRJNA224116,SAMD00153204,Complete Genome,6085955.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium paraseoulense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/655/GCF_010731655.1_ASM1073165v1/GCF_010731655.1_ASM1073165v1_genomic.fna.gz ./GCF_010731655.1_genomic.fna.gz
M.paraterrae,GCF_022430545.2,577492,577492,Mycobacterium paraterrae,strain=DSM 45127,PRJNA224116,SAMN20254271,Complete Genome,5522624.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium paraterrae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/430/545/GCF_022430545.2_ASM2243054v2/GCF_022430545.2_ASM2243054v2_genomic.fna.gz ./GCF_022430545.2_genomic.fna.gz
M.parmense,GCF_010730575.1,185642,185642,Mycobacterium parmense,strain=JCM 14742,PRJNA224116,SAMD00153193,Complete Genome,5952912.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium parmense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/575/GCF_010730575.1_ASM1073057v1/GCF_010730575.1_ASM1073057v1_genomic.fna.gz ./GCF_010730575.1_genomic.fna.gz
M.peregrinum,GCF_002102345.1,43304,43304,Mycolicibacterium peregrinum,strain=DSM 43271,PRJNA224116,SAMN04216946,Contig,7050152.0,78.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium peregrinum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/345/GCF_002102345.1_ASM210234v1/GCF_002102345.1_ASM210234v1_genomic.fna.gz ./GCF_002102345.1_genomic.fna.gz
M.persicum,GCF_002086915.1,1487726,1487726,Mycobacterium persicum,strain=12MK,PRJNA224116,SAMN06368474,Scaffold,6347217.0,30.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium persicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/915/GCF_002086915.1_ASM208691v1/GCF_002086915.1_ASM208691v1_genomic.fna.gz ./GCF_002086915.1_genomic.fna.gz
M.phlei,GCF_900453675.1,1771,1771,Mycolicibacterium phlei,strain=NCTC8156,PRJNA224116,SAMEA37370668,Contig,5313907.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium phlei,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/453/675/GCF_900453675.1_52601_G01/GCF_900453675.1_52601_G01_genomic.fna.gz ./GCF_900453675.1_genomic.fna.gz
M.phocaicum,GCF_010731115.1,319706,319706,Mycolicibacterium phocaicum,strain=JCM 15301,PRJNA224116,SAMD00153196,Complete Genome,5853197.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium phocaicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/115/GCF_010731115.1_ASM1073111v1/GCF_010731115.1_ASM1073111v1_genomic.fna.gz ./GCF_010731115.1_genomic.fna.gz
M.pinniadriaticum,GCF_026242035.1,2994102,2994102,Mycobacterium pinniadriaticum,strain=CVI_P3,PRJNA224116,SAMN31656079,Contig,6879965.0,143.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium pinniadriaticum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/242/035/GCF_026242035.1_ASM2624203v1/GCF_026242035.1_ASM2624203v1_genomic.fna.gz ./GCF_026242035.1_genomic.fna.gz
M.porcinum,GCF_900289185.1,39693,39693,Mycolicibacterium porcinum,strain=CSUR P1564,PRJNA224116,SAMEA104585265,Contig,6977991.0,5.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium porcinum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/289/185/GCF_900289185.1_PRJEB24917/GCF_900289185.1_PRJEB24917_genomic.fna.gz ./GCF_900289185.1_genomic.fna.gz
M.poriferae,GCF_010728325.1,39694,39694,Mycolicibacterium poriferae,strain=JCM 12603,PRJNA224116,SAMD00153179,Complete Genome,5929171.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium poriferae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/325/GCF_010728325.1_ASM1072832v1/GCF_010728325.1_ASM1072832v1_genomic.fna.gz ./GCF_010728325.1_genomic.fna.gz
M.pseudokansasii,GCF_900566075.1,2341080,2341080,Mycobacterium pseudokansasii,strain=MK142,PRJNA224116,SAMEA4938324,Contig,6425786.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium pseudokansasii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/566/075/GCF_900566075.1_MK142/GCF_900566075.1_MK142_genomic.fna.gz ./GCF_900566075.1_genomic.fna.gz
M.pseudoshottsii,GCF_003584745.1,265949,1136880,Mycobacterium pseudoshottsii JCM 15466,strain=JCM 15466,PRJNA224116,SAMD00096819,Complete Genome,6061597.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium ulcerans group;s__Mycobacterium pseudoshottsii;x__Mycobacterium pseudoshottsii JCM 15466,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/745/GCF_003584745.1_ASM358474v1/GCF_003584745.1_ASM358474v1_genomic.fna.gz ./GCF_003584745.1_genomic.fna.gz
M.psychrotolerans,GCF_010729305.1,216929,216929,Mycolicibacterium psychrotolerans,strain=JCM 13323,PRJNA224116,SAMD00153184,Complete Genome,5732362.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium psychrotolerans,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/305/GCF_010729305.1_ASM1072930v1/GCF_010729305.1_ASM1072930v1_genomic.fna.gz ./GCF_010729305.1_genomic.fna.gz
M.pulveris,GCF_010725725.1,36813,36813,Mycolicibacterium pulveris,strain=JCM 6370,PRJNA224116,SAMD00153163,Complete Genome,5484749.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium pulveris,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/725/GCF_010725725.1_ASM1072572v1/GCF_010725725.1_ASM1072572v1_genomic.fna.gz ./GCF_010725725.1_genomic.fna.gz
M.pyrenivorans,GCF_025821625.1,187102,187102,Mycolicibacterium pyrenivorans,strain=DSM 44605,PRJNA224116,SAMN15568999,Scaffold,6688400.0,304.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium pyrenivorans,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/821/625/GCF_025821625.1_ASM2582162v1/GCF_025821625.1_ASM2582162v1_genomic.fna.gz ./GCF_025821625.1_genomic.fna.gz
M.rhizamassiliense,GCF_900157375.1,1841860,1841860,Mycobacterium rhizamassiliense,strain=AB57,PRJNA224116,SAMEA54078418,Scaffold,6015470.0,6.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium rhizamassiliense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/375/GCF_900157375.1_PRJEB19165/GCF_900157375.1_PRJEB19165_genomic.fna.gz ./GCF_900157375.1_genomic.fna.gz
M.rhodesiae,GCF_002086695.1,36814,36814,Mycolicibacterium rhodesiae,strain=DSM 44223,PRJNA224116,SAMN06064257,Contig,6009003.0,52.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium rhodesiae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/695/GCF_002086695.1_ASM208669v1/GCF_002086695.1_ASM208669v1_genomic.fna.gz ./GCF_002086695.1_genomic.fna.gz
M.riyadhense,GCF_963853645.1,486698,486698,Mycobacterium riyadhense,strain=DSM 45176,PRJNA224116,SAMEA114857888,Complete Genome,6635210.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium riyadhense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/853/645/GCF_963853645.1_MriyDSM45176v1/GCF_963853645.1_MriyDSM45176v1_genomic.fna.gz ./GCF_963853645.1_genomic.fna.gz
M.rufum,GCF_022374875.2,318424,318424,Mycolicibacterium rufum,strain=JCM 16372,PRJNA224116,SAMN20254267,Complete Genome,6107383.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium rufum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/875/GCF_022374875.2_ASM2237487v3/GCF_022374875.2_ASM2237487v3_genomic.fna.gz ./GCF_022374875.2_genomic.fna.gz
M.rutilum,GCF_900108565.1,370526,370526,Mycolicibacterium rutilum,strain=DSM 45405,PRJNA224116,SAMN04489835,Chromosome,5987931.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium rutilum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/565/GCF_900108565.1_IMG-taxon_2636415969_annotated_assembly/GCF_900108565.1_IMG-taxon_2636415969_annotated_assembly_genomic.fna.gz ./GCF_900108565.1_genomic.fna.gz
M.salmoniphilum,GCF_004924335.1,404941,404941,Mycobacteroides salmoniphilum,strain=DSM 43276,PRJNA224116,SAMN07807803,Complete Genome,4776697.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides salmoniphilum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/335/GCF_004924335.1_ASM492433v1/GCF_004924335.1_ASM492433v1_genomic.fna.gz ./GCF_004924335.1_genomic.fna.gz
M.saopaulense,GCF_001456355.1,1578165,1578165,Mycobacteroides saopaulense,strain=EPM10906,PRJNA224116,SAMN03225541,Complete Genome,4649175.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides saopaulense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/355/GCF_001456355.1_ASM145635v1/GCF_001456355.1_ASM145635v1_genomic.fna.gz ./GCF_001456355.1_genomic.fna.gz
M.sarraceniae,GCF_010731875.1,1534348,1534348,Mycolicibacterium sarraceniae,strain=JCM 30395,PRJNA224116,SAMD00153217,Complete Genome,4828255.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium sarraceniae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/875/GCF_010731875.1_ASM1073187v1/GCF_010731875.1_ASM1073187v1_genomic.fna.gz ./GCF_010731875.1_genomic.fna.gz
M.saskatchewanense,GCF_010729105.1,220927,220927,Mycobacterium saskatchewanense,strain=JCM 13016,PRJNA224116,SAMD00153183,Complete Genome,6008916.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium saskatchewanense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/105/GCF_010729105.1_ASM1072910v1/GCF_010729105.1_ASM1072910v1_genomic.fna.gz ./GCF_010729105.1_genomic.fna.gz
M.scrofulaceum,GCF_002086735.1,1783,1783,Mycobacterium scrofulaceum,strain=DSM 43992,PRJNA224116,SAMN06064259,Contig,6170273.0,184.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium scrofulaceum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/735/GCF_002086735.1_ASM208673v1/GCF_002086735.1_ASM208673v1_genomic.fna.gz ./GCF_002086735.1_genomic.fna.gz
M.sediminis,GCF_010731735.1,1286180,1286180,Mycolicibacterium sediminis,strain=JCM 17899,PRJNA224116,SAMD00153209,Complete Genome,6250641.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium sediminis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/735/GCF_010731735.1_ASM1073173v1/GCF_010731735.1_ASM1073173v1_genomic.fna.gz ./GCF_010731735.1_genomic.fna.gz
M.senegalense,GCF_019645875.1,1796,1796,Mycolicibacterium senegalense,strain=ATCC 35796,PRJNA224116,SAMN20254268,Complete Genome,6086722.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium senegalense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/875/GCF_019645875.1_ASM1964587v1/GCF_019645875.1_ASM1964587v1_genomic.fna.gz ./GCF_019645875.1_genomic.fna.gz
